Finished On,Title,Duration
12/31/2023,"Self Timer",360
12/31/2023,"Daily Meditation",2886
12/31/2023,"Moment",62
12/30/2023,"Daily Meditation",2400
12/30/2023,"Moment",11
12/30/2023,"Settle the Mind into Sleep",92
12/29/2023,"Daily Meditation",1801
12/29/2023,"Daily Meditation",1828
12/29/2023,"Moment",28
12/29/2023,"Self Timer",360
12/29/2023,"Daily Meditation",2400
12/29/2023,"Deep Rest for Sleep",1350
12/28/2023,"Daily Meditation",1735
12/28/2023,"Self Timer",1158
12/28/2023,"Self Timer",360
12/28/2023,"Daily Meditation",2700
12/28/2023,"Moment",66
12/28/2023,"Relaxing the Nervous System",943
12/28/2023,"Moment",35
12/27/2023,"Self Timer",240
12/27/2023,"Daily Meditation",1800
12/27/2023,"Daily Meditation",1800
12/27/2023,"Self Timer",322
12/26/2023,"Navigating Depression",1930
12/26/2023,"Resolving Anger",1781
12/26/2023,"Useful Concepts in Meditation",264
12/26/2023,"Moment",51
12/26/2023,"Effortless Achievement",303
12/26/2023,"Treating Setbacks as Tests",431
12/26/2023,"Moment",60
12/26/2023,"Moment",61
12/26/2023,"Moment",14
12/26/2023,"Moment",52
12/25/2023,"Daily Meditation",840
12/25/2023,"Daily Meditation",1796
12/25/2023,"Daily Meditation",1200
12/25/2023,"Daily Meditation",3662
12/25/2023,"Moment",54
12/25/2023,"Moment",38
12/24/2023,"A Transformative Recognition",233
12/24/2023,"Vipassana vs. Dzogchen",540
12/23/2023,"Daily Meditation",1200
12/23/2023,"Daily Meditation",1200
12/23/2023,"Daily Meditation",2040
12/23/2023,"Moment",61
12/22/2023,"Daily Meditation",3600
12/22/2023,"Moment",30
12/21/2023,"Daily Meditation",2399
12/21/2023,"Moment",47
12/21/2023,"Moment",48
12/21/2023,"Daily Meditation",1800
12/21/2023,"Daily Meditation",1260
12/20/2023,"Daily Meditation",3300
12/20/2023,"“The Well of Being”",264
12/20/2023,"Moment",52
12/19/2023,"45-Minute Meditation 3",2721
12/19/2023,"Practice and Suffering",301
12/19/2023,"Anger",321
12/19/2023,"Daily Meditation",911
12/19/2023,"Daily Meditation",2100
12/19/2023,"Moment",46
12/18/2023,"Self Timer",3600
12/18/2023,"Moment",40
12/18/2023,"Daily Meditation",3635
12/17/2023,"45-Minute Meditation 1",2761
12/17/2023,"Introduction",94
12/17/2023,"Inner Spaciousness",509
12/17/2023,"Do or Do Not",540
12/17/2023,"Connecting with Your Adversaries",765
12/17/2023,"Daily Meditation",1501
12/17/2023,"Self Timer",1500
12/17/2023,"Centerless Awareness",554
12/17/2023,"60-Minute Meditation 6",1707
12/16/2023,"Moment",130
12/16/2023,"Daily Meditation",3600
12/16/2023,"The Flow of This",223
12/15/2023,"Deep Rest for Sleep",1405
12/15/2023,"Daily Meditation",1500
12/15/2023,"Moment",77
12/15/2023,"Daily Meditation",2692
12/15/2023,"Moment",72
12/14/2023,"Emotional Opposites",743
12/14/2023,"Pure Perception",1005
12/14/2023,"Daily Meditation",1500
12/14/2023,"Finding Yourself in the Funhouse Mirror",512
12/14/2023,"The Gift of Bias",248
12/14/2023,"What Is Mindfulness?",248
12/14/2023,"Moment",35
12/14/2023,"60-Minute Meditation 7",3344
12/14/2023,"Moment",60
12/14/2023,"Deep Rest for Awakening",757
12/13/2023,"A State of Allowing",1802
12/13/2023,"Awareness Is Already Present",1800
12/13/2023,"Self Timer",600
12/13/2023,"Self Timer",599
12/13/2023,"Moment",72
12/13/2023,"Moment",72
12/13/2023,"60-Minute Meditation 8",3609
12/13/2023,"Deep Rest for Sleep",1407
12/12/2023,"Daily Meditation",2690
12/12/2023,"Daily Meditation",1800
12/12/2023,"Moment",78
12/12/2023,"Mindfulness of Breathing",1537
12/12/2023,"Daily Meditation",1800
12/11/2023,"Self Timer",1200
12/11/2023,"Moment",44
12/11/2023,"60-Minute Meditation 9",1159
12/11/2023,"Moment",40
12/11/2023,"Exploring the I-Thought",12
12/10/2023,"Daily Meditation",589
12/10/2023,"Daily Meditation",418
12/10/2023,"Daily Meditation",1187
12/10/2023,"Daily Meditation",673
12/10/2023,"Daily Meditation",1379
12/10/2023,"Daily Meditation",1800
12/10/2023,"Moment",48
12/09/2023,"Daily Meditation",1500
12/09/2023,"Moment",50
12/09/2023,"Daily Meditation",2700
12/08/2023,"Daily Meditation",936
12/08/2023,"Daily Meditation",1500
12/07/2023,"Daily Meditation",1799
12/07/2023,"Tips for Living Well",81
12/07/2023,"Can We Achieve Nirvana?",652
12/07/2023,"Moment",33
12/07/2023,"Daily Meditation",1800
12/06/2023,"Daily Meditation",900
12/05/2023,"Daily Meditation",1200
12/05/2023,"Daily Meditation",13
12/05/2023,"Self Timer",1200
12/05/2023,"Daily Meditation",700
12/05/2023,"Can We Achieve Nirvana?",33
12/04/2023,"Sitting Still, Facing Toward",277
12/04/2023,"Longing for Perfection",240
12/04/2023,"Solitude and Loneliness",761
12/04/2023,"Longing for Perfection",567
12/04/2023,"Solitude and Loneliness",760
12/04/2023,"Daily Meditation",1560
12/04/2023,"Notice What Could Be",221
12/03/2023,"Daily Meditation",1800
12/03/2023,"Gain and Loss",79
12/02/2023,"Daily Meditation",509
12/02/2023,"Daily Meditation",1500
12/02/2023,"Moment",37
12/02/2023,"Daily Meditation",1800
12/01/2023,"Daily Meditation",1157
11/29/2023,"Daily Meditation",660
11/29/2023,"Daily Meditation",1500
11/29/2023,"Relating to Our Future Self",219
11/29/2023,"The Last Time",151
11/28/2023,"Daily Meditation",1157
11/28/2023,"Daily Meditation",2400
11/28/2023,"Daily Meditation",24
11/27/2023,"Daily Meditation",1800
11/27/2023,"Suffering and the Good Life",210
11/27/2023,"Treating Setbacks as Tests",41
11/27/2023,"Giving",123
11/27/2023,"The Significance of Boredom",190
11/27/2023,"Daily Meditation",1157
11/27/2023,"Moment",57
11/25/2023,"Daily Meditation",720
11/25/2023,"Daily Meditation",1157
11/25/2023,"Don't Fight Thoughts",1248
11/25/2023,"Daily Meditation",2100
11/25/2023,"Moment",46
11/24/2023,"Dropping Back and Observing",9
11/24/2023,"Dropping Back and Observing",744
11/24/2023,"Walking in Public",709
11/24/2023,"Daily Meditation",1800
11/24/2023,"Bare Knowing",1091
11/23/2023,"Don't Fight Thoughts",211
11/23/2023,"Daily Meditation",1800
11/23/2023,"Moment",10
11/22/2023,"Daily Meditation",127
11/22/2023,"Daily Meditation",2944
11/22/2023,"Everything is Waiting For You",134
11/22/2023,"Daily Meditation",1500
11/22/2023,"Daily Meditation",30
11/21/2023,"The End of Dukkha",265
11/21/2023,"Resolving Anger",175
11/20/2023,"Daily Meditation",2703
11/19/2023,"Mindfulness and Trauma",293
11/19/2023,"Everything is Waiting For You",134
11/19/2023,"This Person Could Die Tonight",270
11/19/2023,"Daily Meditation",1157
11/19/2023,"Introduction",180
11/18/2023,"Moment",124
11/18/2023,"Win While Losing",140
11/18/2023,"Mid-Traumatic Growth",638
11/17/2023,"Heroes Make Mistakes",324
11/17/2023,"Your Own Worst (And Best) Critic",33
11/17/2023,"Who Are You?",861
11/17/2023,"Introduction",641
11/17/2023,"Daily Meditation",2700
11/17/2023,"Daily Meditation",476
11/17/2023,"Moment",52
11/17/2023,"Moment",38
11/16/2023,"Daily Meditation",900
11/16/2023,"Inner Spaciousness",594
11/16/2023,"Daily Meditation",1500
11/16/2023,"Moment",41
11/15/2023,"The Lights of Consciousness",288
11/15/2023,"Daily Meditation",1280
11/14/2023,"Daily Meditation",1500
11/14/2023,"Daily Meditation",1500
11/14/2023,"Equanimity",234
11/13/2023,"Daily Meditation",1800
11/13/2023,"Moment",51
11/13/2023,"Effortless Achievement",77
11/13/2023,"Moment",64
11/13/2023,"Daily Meditation",1800
11/13/2023,"Daily Meditation",1216
11/13/2023,"Your Prayer",179
11/12/2023,"Walking in Public",93
11/11/2023,"Death and Generosity",324
11/11/2023,"Daily Meditation",1205
11/11/2023,"Moment",87
11/10/2023,"Daily Meditation",1199
11/10/2023,"Daily Meditation",112
11/10/2023,"Daily Meditation",1210
11/10/2023,"Moment",9
11/09/2023,"Daily Meditation",1200
11/08/2023,"Daily Meditation",1200
11/08/2023,"Self Timer",1800
11/08/2023,"Relaxing the Nervous System",942
11/08/2023,"Daily Meditation",1207
11/08/2023,"Daily Meditation",1202
11/06/2023,"Letting Go",291
11/06/2023,"Straight from the Horse's Mouth",327
11/06/2023,"Fleeting Friendships",354
11/06/2023,"Flirting with Magical Realism",412
11/06/2023,"Deifying Teachers",374
11/06/2023,"Moment",53
11/05/2023,"Anxiety",1461
11/05/2023,"Daily Meditation",1203
11/05/2023,"Daily Meditation",1228
11/05/2023,"Daily Meditation",1204
11/05/2023,"Solving Problems",301
11/05/2023,"Mental Noting",285
11/05/2023,"Second Sight",317
11/05/2023,"The Context of Experience",555
11/05/2023,"Practicing Negative Visualization",562
11/05/2023,"Moment",45
11/05/2023,"A Healthy Awareness of Death",264
11/05/2023,"Ego and Illusion",531
11/05/2023,"You Are the Obstacle",213
11/05/2023,"How to Look for What’s Looking",230
11/05/2023,"Meditation and Personality",300
11/05/2023,"Awakening",246
11/05/2023,"Moment",38
11/05/2023,"The Multiplicity of Selves",585
11/05/2023,"The Inexpressibility of Life",517
11/05/2023,"The Ghosts in Our Language",170
11/05/2023,"The Power of 1% Gains",323
11/05/2023,"Do We Ever Really Know a Person?",442
11/05/2023,"The Social Self",438
11/05/2023,"Moment",46
11/05/2023,"Unnoticed Emotions",466
11/04/2023,"Embracing Boredom",369
11/04/2023,"Daily Meditation",1197
11/04/2023,"Daily Meditation",1221
11/04/2023,"Moment",117
11/04/2023,"Self & Other",494
11/04/2023,"Lose the Monkey",372
11/04/2023,"Centering Meditation",1224
11/03/2023,"Meditation vs. Psychedelics",583
11/03/2023,"Beauty",288
11/02/2023,"Daily Meditation",1207
11/02/2023,"Moment",51
11/02/2023,"Useful Concepts in Meditation",515
11/01/2023,"Daily Meditation",900
11/01/2023,"Daily Meditation",900
10/31/2023,"Daily Meditation",1207
10/31/2023,"Exploring the I-Thought",668
10/31/2023,"Awareness Is Already Present",1800
10/31/2023,"Daily Meditation",1800
10/30/2023,"Daily Meditation",1800
10/30/2023,"Moment",51
10/30/2023,"The Eyes of an Eagle",327
10/28/2023,"Daily Meditation",1800
10/28/2023,"Daily Meditation",1800
10/28/2023,"The Benefit of Cosmopolitanism",161
10/28/2023,"Planning",617
10/28/2023,"Daily Meditation",660
10/27/2023,"Daily Meditation",1800
10/27/2023,"Moment",44
10/26/2023,"Daily Meditation",1203
10/26/2023,"Moment",28
10/25/2023,"Moment",44
10/25/2023,"Deep Rest for Awakening",758
10/23/2023,"Break Out of Routine",447
10/23/2023,"Self Timer",1800
10/23/2023,"Daily Meditation",1210
10/23/2023,"The Magic of Rock Hopping",321
10/23/2023,"Moment",122
10/23/2023,"Self Timer",600
10/23/2023,"Self Timer",2100
10/22/2023,"Daily Meditation",1208
10/22/2023,"Daily Meditation",1020
10/21/2023,"Care for Something",385
10/21/2023,"Awareness Is Already Present",1800
10/21/2023,"Daily Meditation",613
10/21/2023,"It's Worse Than You Think",581
10/21/2023,"Daily Meditation",1500
10/21/2023,"Moment",67
10/20/2023,"The Habit of Force",574
10/20/2023,"Inconceivable",571
10/20/2023,"Daily Meditation",1203
10/20/2023,"Daily Meditation",1800
10/19/2023,"Daily Meditation",1203
10/19/2023,"What Is an Interruption, Anyway?",612
10/19/2023,"Moment",64
10/19/2023,"Pure Perception",1003
10/18/2023,"Accepting Unpleasant Emotions",312
10/17/2023,"Relaxing the Nervous System",942
10/17/2023,"The Necessity of Thought",210
10/17/2023,"Priming the Brain",325
10/17/2023,"Daily Meditation",651
10/17/2023,"Daily Meditation",651
10/17/2023,"Daily Meditation",651
10/16/2023,"Moment",54
10/16/2023,"The Space of Subjectivity ",131
10/16/2023,"Daily Meditation",1202
10/16/2023,"Daily Meditation",1202
10/16/2023,"Daily Meditation",900
10/16/2023,"Moment",59
10/16/2023,"Self Timer",3600
10/15/2023,"Daily Meditation",1205
10/15/2023,"Moment",42
10/15/2023,"Exploring the I-Thought",668
10/14/2023,"Common Misunderstandings",104
10/14/2023,"Everything is Waiting For You",131
10/14/2023,"Exploring the I-Thought",668
10/13/2023,"Moment",131
10/13/2023,"Safety In the Body",668
10/13/2023,"Relaxing the Nervous System",942
10/11/2023,"Self Timer",600
10/11/2023,"Leverage Boredom",476
10/11/2023,"Enter the Wilderness",512
10/11/2023,"Be a 2-Percenter",551
10/10/2023,"Unpack Hunger",308
10/10/2023,"Leverage Boredom",476
10/10/2023,"Leaning into Relationships",691
10/10/2023,"A Half-Full Glass",691
10/10/2023,"The Impossibility of Free Will",429
10/10/2023,"Daily Meditation",1197
10/09/2023,"Moment",42
10/09/2023,"Daily Meditation",1214
10/08/2023,"Eudaimonia",756
10/08/2023,"Hedonic Well-Being",602
10/08/2023,"The Pursuit of Happiness",691
10/08/2023,"Daily Meditation",1229
10/08/2023,"Where Are You?",314
10/08/2023,"Moment",73
10/07/2023,"30-Minute Meditation 2",2057
10/06/2023,"Moment",52
10/06/2023,"Moment",52
10/06/2023,"Daily Meditation",1210
10/06/2023,"Daily Meditation",1210
10/05/2023,"The Pursuit of Happiness",691
10/05/2023,"What is Status?",590
10/05/2023,"Daily Meditation",1214
10/05/2023,"Learning to Recognize Doubt",399
10/04/2023,"Daily Meditation",1203
10/04/2023,"Daily Meditation",1206
10/03/2023,"The Foundation of Being",1800
10/03/2023,"Daily Meditation",1201
10/03/2023,"Relaxing the Nervous System",942
10/02/2023,"Daily Meditation",1241
10/01/2023,"Daily Meditation",1210
10/01/2023,"Daily Meditation",617
09/30/2023,"30-Minute Meditation 1",1810
09/30/2023,"Daily Meditation",1215
09/29/2023,"Daily Meditation",1220
09/29/2023,"Moment",25
09/29/2023,"Moment",64
09/28/2023,"A State of Non-Distraction",1800
09/28/2023,"Being a First-Class Noticer",103
09/28/2023,"Imagining Your Last Act",228
09/28/2023,"Recognition and Freedom",57
09/28/2023,"Notice What Could Be",219
09/28/2023,"Moment",51
09/28/2023,"Daily Meditation",1201
09/27/2023,"Rats and Reality",381
09/27/2023,"Unpack Hunger",308
09/27/2023,"Leverage Boredom",476
09/27/2023,"Unpack Hunger",307
09/27/2023,"Leverage Boredom",475
09/27/2023,"Enter the Wilderness",511
09/27/2023,"Be a 2-Percenter",550
09/27/2023,"The Comfort Conundrum",496
09/26/2023,"Meditation and Personality",300
09/26/2023,"Daily Meditation",1208
09/26/2023,"Moment",66
09/25/2023,"Common Misunderstandings",104
09/25/2023,"Moral Realism",552
09/25/2023,"Giving",463
09/25/2023,"The Artifact of Personhood",92
09/25/2023,"Daily Meditation",1207
09/25/2023,"Stepping into the Void",528
09/25/2023,"Unconditionally Open",513
09/25/2023,"Your Original Face",510
09/25/2023,"Daily Meditation",1209
09/24/2023,"Daily Meditation",1216
09/23/2023,"Daily Meditation",1216
09/23/2023,"Moment",42
09/22/2023,"Daily Meditation",1208
09/21/2023,"Daily Meditation",1213
09/20/2023,"The Open Space",1800
09/20/2023,"Introduction",113
09/19/2023,"Awareness Is Already Present",1800
09/19/2023,"Daily Meditation",1213
09/19/2023,"Daily Meditation",1209
09/19/2023,"Daily Meditation",706
09/18/2023,"Daily Meditation",1207
09/18/2023,"Mental Training",390
09/18/2023,"Colors on the Palette of Life",258
09/18/2023,"The Meaning of Transcendence",419
09/17/2023,"Deep Rest for Awakening",758
09/17/2023,"Daily Meditation",1214
09/17/2023,"Daily Meditation",619
09/16/2023,"Daily Meditation",1206
09/16/2023,"Moment",68
09/16/2023,"Daily Meditation",1216
09/15/2023,"Space, Time, & Attention",543
09/15/2023,"Daily Meditation",1209
09/14/2023,"Always Being, Always Becoming",315
09/14/2023,"Daily Meditation",1202
09/14/2023,"Daily Meditation",1212
09/14/2023,"Simple Rest",610
09/13/2023,"Daily Meditation",1200
09/13/2023,"Daily Meditation",1203
09/12/2023,"Daily Meditation",1215
09/12/2023,"Awakening",246
09/12/2023,"Teaching from Experience",234
09/12/2023,"Daily Meditation",623
09/12/2023,"Daily Meditation",1205
09/12/2023,"Practice Paying Attention",348
09/12/2023,"The Last Time",277
09/11/2023,"Daily Meditation",1206
09/11/2023,"Daily Meditation",1208
09/09/2023,"Daily Meditation",1204
09/09/2023,"Daily Meditation",1219
09/07/2023,"Moment",45
09/06/2023,"Daily Meditation",1206
09/06/2023,"Daily Meditation",1205
09/06/2023,"The Nature of Thought and Emotion",3611
09/06/2023,"Just Watching",1800
09/05/2023,"Daily Meditation",1205
09/05/2023,"Moment",63
09/05/2023,"The Natural Condition",1800
09/04/2023,"Moment",41
09/03/2023,"Relax into Sleep",650
09/02/2023,"Self Timer",420
09/02/2023,"Daily Meditation",624
09/01/2023,"Moment",42
09/01/2023,"Daily Meditation",1210
09/01/2023,"Moment",48
09/01/2023,"We Are Ungraspable",486
08/31/2023,"Moment",66
08/31/2023,"Self Timer",600
08/31/2023,"Relaxing into Emptiness",1800
08/31/2023,"Simple Rest",609
08/31/2023,"Simple Rest",610
08/30/2023,"Meditation 13",665
08/30/2023,"Daily Meditation",624
08/30/2023,"Daily Meditation",1203
08/30/2023,"Daily Meditation",1203
08/30/2023,"Moment",70
08/30/2023,"Imagining Your Last Act",228
08/29/2023,"Clear Mind, Open Body",613
08/29/2023,"Nirvana and Buddhism",206
08/29/2023,"Moment",60
08/29/2023,"Moment",60
08/29/2023,"Rats and Reality",381
08/29/2023,"Rats and Reality",381
08/28/2023,"Daily Meditation",1210
08/28/2023,"Self Timer",4020
08/27/2023,"Moment",42
08/26/2023,"Self Timer",600
08/26/2023,"Inner Spaciousness",594
08/26/2023,"Moment",35
08/26/2023,"Daily Meditation",1254
08/25/2023,"Moment",57
08/25/2023,"Beyond Attachment",1398
08/24/2023,"Moment",66
08/24/2023,"Listen Carefully",295
08/24/2023,"Daily Meditation",1220
08/24/2023,"Moment",39
08/23/2023,"Daily Meditation",610
08/23/2023,"The Paradox of Awakening",272
08/23/2023,"What Is Progress in Meditation?",316
08/23/2023,"Meditation Retreats",119
08/23/2023,"Moment",57
08/23/2023,"Daily Meditation",1222
08/23/2023,"Moment",41
08/23/2023,"Deep Rest for Sleep",1405
08/23/2023,"Daily Meditation",1220
08/23/2023,"Daily Meditation",1236
08/22/2023,"Daily Meditation",1210
08/22/2023,"Moment",49
08/22/2023,"Simple Rest",610
08/22/2023,"Relax into Sleep",651
08/21/2023,"An Expression of Infinity",136
08/21/2023,"Meditation and Ethics",217
08/21/2023,"Moment",77
08/21/2023,"Daily Meditation",1210
08/21/2023,"Daily Meditation",611
08/21/2023,"Responding to Challenge",373
08/20/2023,"Daily Meditation",1210
08/20/2023,"Daily Meditation",715
08/20/2023,"Safety In the Body",668
08/20/2023,"Daily Meditation",1210
08/19/2023,"Daily Meditation",1261
08/19/2023,"Beyond the Five Senses",401
08/19/2023,"Life Is a Game",389
08/19/2023,"Come To Your Senses",451
08/19/2023,"Adventurous Listening",419
08/19/2023,"Guided vs. Unguided Meditation",222
08/19/2023,"Hindu vs. Buddhist Ideas of Self",226
08/19/2023,"Daily Meditation",1229
08/19/2023,"Moment",48
08/18/2023,"Daily Meditation",610
08/18/2023,"30-Minute Meditation 9",1812
08/18/2023,"Allowing the Moment to Be As It Is",315
08/18/2023,"Daily Meditation",1236
08/18/2023,"Moment",67
08/18/2023,"Doubt and Aversion",3589
08/18/2023,"Soda on a Submarine",371
08/18/2023,"Daily Meditation",667
08/18/2023,"Daily Meditation",720
08/18/2023,"The Unmovable Mind",370
08/18/2023,"Daily Meditation",1210
08/17/2023,"Behavior and Identity",140
08/17/2023,"Moment",94
08/17/2023,"Negative Emotions",275
08/17/2023,"Negative Emotions",275
08/17/2023,"Are Waking Up Teachers Enlightened?",353
08/17/2023,"Soft Butter",295
08/17/2023,"Reflecting on Reflections",279
08/17/2023,"Visiting My Childhood Home",269
08/17/2023,"Daily Meditation",1263
08/17/2023,"Working with Thoughts",510
08/17/2023,"Retracing Your Steps",165
08/17/2023,"Daily Meditation",1210
08/17/2023,"Moment",87
08/17/2023,"Moment",87
08/17/2023,"Moment",87
08/17/2023,"The Joy of Missing Out",654
08/17/2023,"Escaping the Efficiency Trap",667
08/17/2023,"The Joy of Missing Out",654
08/17/2023,"Self-Knowledge",397
08/17/2023,"Daily Meditation",1240
08/17/2023,"Daily Meditation",1210
08/15/2023,"Daily Meditation",1213
08/15/2023,"60-Minute Meditation 2",3636
08/15/2023,"Daily Meditation",1222
08/15/2023,"Daily Meditation",1210
08/15/2023,"Daily Meditation",1234
08/14/2023,"30-Minute Meditation 1",1810
08/14/2023,"Daily Meditation",1231
08/14/2023,"Always and Already",807
08/14/2023,"60-Minute Meditation 9",3615
08/14/2023,"Barbieheimer",299
08/14/2023,"Bend It like Buddhism",352
08/14/2023,"The Magic of Rock Hopping",321
08/14/2023,"Attention Inventions",353
08/14/2023,"The Goal of Work In Progress",363
08/14/2023,"Renovation Meditation",313
08/14/2023,"Moment",81
08/14/2023,"Daily Meditation",1243
08/12/2023,"The Power of Thought",269
08/12/2023,"Why Meditate?",78
08/12/2023,"Why Meditate?",78
08/12/2023,"Everything is Waiting For You",131
08/12/2023,"Spiritual Materialism",254
08/12/2023,"Daily Meditation",1210
08/12/2023,"Moment",47
08/12/2023,"Spiritual Materialism",254
08/12/2023,"Spiritual Materialism",254
08/12/2023,"The Storytelling Frame",268
08/12/2023,"Daily Meditation",1210
08/12/2023,"Daily Meditation",1210
08/11/2023,"The Firm Ground of Emptiness",224
08/11/2023,"The Immediacy of Full Contact",324
08/11/2023,"Moment",63
08/11/2023,"Self Timer",900
08/11/2023,"Daily Meditation",1206
08/11/2023,"Daily Meditation",1244
08/10/2023,"Daily Meditation",1236
08/10/2023,"Life Is a Game",389
08/10/2023,"Look the Wrong Way",450
08/10/2023,"The War for Your Attention",414
08/10/2023,"Daily Meditation",1218
08/09/2023,"Breaks on a Plane",362
08/09/2023,"Priming the Brain",325
08/09/2023,"Daily Meditation",1210
08/09/2023,"Daily Meditation",1210
08/03/2023,"Safety In the Body",668
08/03/2023,"The Power of Thought",269
08/03/2023,"The Meaning of Transcendence",419
08/03/2023,"Daily Meditation",605
08/03/2023,"Moment of Disappointment",281
08/03/2023,"Sitting Meditation",1813
08/03/2023,"Daily Meditation",1228
08/03/2023,"Moment",48
08/02/2023,"Daily Meditation",650
08/01/2023,"Moment",44
08/01/2023,"Crossing the River",529
08/01/2023,"The Three or Four Hours Rule",592
08/01/2023,"Total Spontaneity",1800
08/01/2023,"Daily Meditation",647
